winner,gametime,realtime,drones_created,drones_destroyed,factories,forts,unupgraded
#DD8888,56516,13263,777,209,6,0,5
#DD8888,65840,19222,1193,327,11,0,3
#DD8888,62492,26038,822,246,7,0,3
#DD8888,55328,22778,596,198,4,0,6
#DD8888,54853,24895,635,194,6,0,2
#DD8888,76048,58648,1503,996,11,0,2
#88DD88,101387,148858,1690,1310,3,0,8
#DD8888,55316,23400,808,348,8,0,4
#DD8888,55460,7725,632,273,6,0,5
#88DD88,80903,125591,1716,1177,10,0,1
#88DD88,71414,156217,1619,1207,9,0,3
#DD8888,52052,10829,709,194,8,0,2
#DD8888,57368,10489,920,253,10,0,2
#DD8888,49174,7706,463,210,4,0,4
#DD8888,55904,23305,648,306,7,0,3
#DD8888,56406,16436,749,231,7,0,3
#DD8888,88926,199268,1752,1366,5,1,4
#DD8888,61574,61559,1011,270,9,0,3
#88DD88,90820,109671,2097,2333,10,0,3
#DD8888,63454,63454,614,464,0,0,11
#DD8888,66367,89772,741,640,0,2,8
#DD8888,57385,84535,497,571,0,0,8
#DD8888,53161,53144,677,573,0,3,10
#DD8888,42517,42501,381,275,0,2,9
#DD8888,48161,48145,419,421,0,1,9
#DD8888,50148,82792,492,519,0,0,9
#DD8888,50054,57940,504,488,0,2,9
#DD8888,48534,48518,453,348,0,0,9
#DD8888,57469,57453,720,565,0,0,12
#DD8888,69293,69276,911,742,0,2,10
#DD8888,61002,60986,706,715,0,2,9
#DD8888,74364,74348,991,870,0,1,10
#DD8888,42526,42510,490,508,0,6,8
#DD8888,57065,57049,593,788,0,2,9
#DD8888,59555,59539,776,746,0,3,11
#DD8888,46634,46618,466,393,0,1,9
#DD8888,59723,59707,691,636,0,2,10
#DD8888,54277,66144,596,590,0,2,10
#DD8888,64663,64647,832,812,0,4,8
#DD8888,76127,81512,1230,1283,7,0,2
#DD8888,67455,67455,760,1144,0,3,8
#DD8888,50537,50521,415,576,0,1,7
#DD8888,90793,90793,944,1593,0,2,8
#DD8888,77018,77002,1123,1250,0,2,11
#DD8888,98133,98117,1404,2761,0,7,5
#DD8888,178597,178581,2952,4944,0,2,10
#DD8888,154227,154211,2016,2221,0,2,7
#DD8888,75352,75335,885,972,0,2,8
#DD8888,83224,83208,1201,1100,0,2,10
#DD8888,82441,82424,842,1574,0,3,7
#DD8888,75340,75324,922,732,0,0,11
#DD8888,69279,69263,886,955,0,3,8
#DD8888,89897,89881,1033,995,0,3,7
#88DD88,76171,140330,1533,1145,10,0,2
#DD8888,76810,95135,844,906,0,3,7
#DD8888,68220,73807,889,1000,0,0,11
#DD8888,67522,67506,868,1072,0,1,10
#DD8888,75050,75034,882,895,0,3,7
#DD8888,100213,100197,1397,2817,0,4,8
#DD8888,90338,90321,851,1081,0,1,9
#DD8888,91443,91427,1071,1463,0,0,11
#DD8888,90103,90087,998,1618,0,3,7
#DD8888,74434,74418,910,1020,0,3,7
#DD8888,82318,82302,937,1141,0,1,12
#DD8888,98829,98813,1469,3115,0,7,5
#DD8888,68278,68262,794,797,0,2,8
#DD8888,170096,178538,2422,82887,0,5,5
#DD8888,73628,73611,859,793,0,5,7
#DD8888,67647,67631,764,843,0,0,10
#DD8888,74550,74534,962,1543,0,4,8
#DD8888,67035,67019,869,504,0,1,11
#DD8888,106659,106643,1440,4071,0,2,9
#DD8888,97646,97630,1578,2354,0,3,9
#DD8888,100715,100699,1725,2099,0,1,11
#DD8888,114567,114551,2021,2177,0,2,9
#DD8888,90035,90019,1339,2637,0,4,8
#DD8888,75146,75130,856,864,0,1,11
#88DD88,125541,125525,1950,1700,3,1,4
#DD8888,91027,91011,1501,2476,0,2,9
#DD8888,74561,74545,927,1100,0,3,6
#DD8888,82040,82024,1222,1246,0,1,11
#DD8888,89570,89554,1450,1471,0,3,9
#DD8888,67013,66997,949,1081,0,5,6
#DD8888,139780,139764,1907,8375,0,0,10
#DD8888,154663,154647,2715,3210,0,1,10
#DD8888,102608,102592,1528,3269,0,0,11
#DD8888,177673,177657,3046,6298,0,3,9
#DD8888,133622,133606,2010,2894,0,3,8
#DD8888,94620,94603,1541,1810,0,0,12
#DD8888,114757,114741,1979,8204,0,0,13
#DD8888,93636,93620,1072,1092,0,0,9
#DD8888,60063,60046,821,1330,0,2,9
#DD8888,88634,88617,1138,1133,0,2,7
#DD8888,91989,91973,1698,2319,0,0,14
#DD8888,90835,90819,1306,2244,0,2,9
#88DD88,108061,108046,1201,1719,0,0,8
#DD8888,58095,58079,608,644,0,1,8
#DD8888,99205,99189,1657,1517,0,0,12
#DD8888,70776,70760,1097,1053,0,4,9
#88DD88,36511,43504,295,236,0,1,6
#88DD88,67588,102212,1393,698,8,1,3
